pid;Anrede;PLZ;Ort;idPersonenTyp;import
36428;3;3014;Bern;1;0
36429;3;2012;Auvernier;1;0
36430;2;3098;Schliern b. Köniz;1;0
36431;2;3000;Bern;1;0
36432;2;3011;Bern;1;0
36433;3;3006;Bern;1;0
36434;3;1726;Farvagny;1;0
36437;2;3012;Bern;1;0
36439;3;3012;Bern;1;0
36443;2;3213;Kleinbösingen;1;0
36447;2;3013;Bern;1;0
36448;3;3014;Bern;1;0
36450;3;0000;Rom;1;0
36451;2;3007;Bern;1;0
36457;2;3076;Worb;1;0
36458;3;3014;Bern;1;0
36464;1;3001;Bern;1;0
36465;3;8197;Rafz;1;0
36468;1;3012;Bern;1;0
36469;3;3123;Belp;1;0
36472;3;3098;Köniz;1;0
36473;3;3013;Bern;1;0
36474;3;3005;Bern;1;0
36475;3;3012;Bern;1;0
36477;2;3233;Tschugg;1;0
36479;2;3006;Bern;1;0
36483;3;3007;Bern;1;0
36484;3;3006;Bern;1;0
36485;3;3006;Bern;1;0
36486;2;3006;Bern;1;0
36487;2;3645;Gwatt (Thun);1;0
36488;2;3027;Bern;1;0
36489;3;3000;Bern;1;0
36492;3;3006;Bern;1;0
36493;3;3014;Bern;1;0
36494;2;3013;Bern;1;0
36495;3;8756;Mitlödi;1;0
36496;3;3011;Bern;1;0
36500;2;3006;Bern;1;0
36501;3;3012;Bern;1;0
36502;2;3014;Bern;1;0
36505;3;3063;Ittigen;1;0
36506;2;5012;Schönenwerd;1;0
36507;3;3672;Oberdiessbach;1;0
36508;1;3014;Bern;1;0
36509;2;3054;Schüpfen;1;0
36511;2;3324;Hindelbank;1;0
36512;2;3012;Bern;1;0
36513;2;3014;Bern;1;0
36514;3;0000;0000;1;0
36515;2;3012;Bern;1;0
36516;3;3007;Bern;1;0
36517;2;3176;Neuenegg;1;0
35738;3;3011;Bern;1;0
35740;3;3011;Bern;1;0
35752;2;3073;Gümligen;1;0
35766;3;3072;Ostermundigen;1;0
35780;3;3432;Lützelflüh-Goldbach;1;0
35793;2;3008;Bern;1;0
35812;2;3303;Jegenstorf;1;0
35849;2;3011;Bern;1;0
35852;3;3097;Liebefeld;1;0
35853;2;3007;Bern;1;0
35854;3;3012;Bern;1;0
35855;3;3007;Bern;1;0
35952;3;3072;Ostermundigen ;1;0
35957;2;3007;Bern;1;0
35962;3;3012;Bern;1;0
35964;3;3063;Ittigen;1;0
35965;3;3414;Oberburg;1;0
35967;3;3000;Bern 25;1;0
35969;2;3013;Bern;1;0
35973;3;3176;Neuenegg;1;0
35976;1;3072;Ostermundigen;1;0
35977;2;3008;Bern;1;0
35982;3;1200;Genève;1;0
35988;2;3400;Burgdorf;1;0
36018;2;3671;Brenzikofen;1;0
36039;2;3179;Kriechenwil;1;0
36040;3;3013;Bern;1;0
36041;3;1700;Fribourg;1;0
36045;3;1470;Lully;1;0
36166;2;3004;Bern;1;0
36169;2;3110;Münsingen;1;0
36177;3;3001;Bern;1;0
36178;2;3012;Bern;1;0
36179;2;3047;Bremgarten b. Bern;1;0
36182;2;3012;Bern;1;0
36189;2;3147;Mittelhäusern;1;0
36190;2;3204;Rosshäusern;1;0
36193;2;3018;Bern;1;0
36198;2;3176;Neuenegg;1;0
36239;3;3627;Heimberg;1;0
36246;3;3013;Bern;1;0
36247;2;3012;Bern;1;0
36248;2;3006;Bern;1;0
36249;3;3110;Münsingen;1;0
36262;3;3013;Bern;1;0
36290;3;3073;Gümligen;1;0
36291;2;3011;Bern;1;0
36292;3;3008;Bern;1;0
36295;2;3015;Bern;1;0
36299;3;3018;Bern;1;0
36300;3;3013;Bern;1;0
36301;1;3072;Ostermundigen;1;0
36304;3;3000;Bern;1;0
36308;2;9547;Wittenwil;1;0
36310;3;3013;Bern;1;0
36326;2;4055;Basel;1;0
36329;2;3074;Muri b Bern;1;0
36520;3;3000;Bern;1;0
36521;3;3027;Bern;1;0
36522;3;3012;Bern;1;0
36523;2;3000;Bern;1;0
36524;2;3018;Bern;1;0
36526;3;3075;Rüfenacht BE;1;0
36529;3;3098;Schliern b. Köniz;1;0
36530;3;3015;Bern;1;0
36531;3;5303;Thalgau;1;0
36532;2;3012;Bern;1;0
36533;3;3008;Bern;1;0
36534;2;3008;Bern;1;0
36535;3;3007;Bern;1;0
36536;3;3098;Köniz;1;0
36539;3;3007;Bern;1;0
36541;3;6260;Reiden;1;0
36542;2;3063;Ittigen;1;0
36545;1;3176;Neuenegg;1;0
36556;3;3008;Bern;1;0
36557;3;0000;00000;1;0
36558;3;3000;Bern;1;0
36559;3;0000;Paris;1;0
36560;2;3084;Wabern;1;0
36561;2;6300;Zug;1;0
36563;2;3012;Bern;1;0
36564;3;3007;Bern;1;0
36565;3;3065;Bolligen;1;0
36567;2;3007;Bern;1;0
36568;3;3006;Bern;1;0
36569;3;3014;Bern;1;0
36570;1;3012;Bern;1;0
36571;2;3008;Bern;1;0
36572;2;3012;Bern;1;0
36573;2;3073;Gümligen;1;0
36574;3;01150;Wien;1;0
36576;2;3012;Bern;1;0
36577;3;3110;Münsingen;1;0
36578;2;3473;Alchenstorf;1;0
36582;2;2575;Gerolfingen;1;0
36583;2;3322;Schönbühl-Urtenen;1;0
36585;3;3014;Bern;1;0
36594;2;00000;Gex;1;0
36595;3;3074;Muri b. Bern;1;0
36596;3;3084;Wabern;1;0
36690;3;3000;Bern;1;0
35781;3;3210;Kerzers;1;0
35783;3;3073;Gümligen;1;0
35799;2;4852;Rothrist;1;0
35802;2;3280;Murten;1;0
35806;3;3007;Bern;1;0
35807;3;3098;Schliern b Köniz;1;0
35828;2;3013;Bern;1;0
35829;2;3076;Worb;1;0
35863;3;4654;Lostorf;1;0
35866;2;8610;Uster;1;0
35869;2;3095;Spiegel b. Bern;1;0
35878;3;3053;Münchenbuchsee;1;0
35879;2;3008;Bern;1;0
35880;3;3013;Bern;1;0
35881;2;3110;Münsingen;1;0
35884;3;3550;Langnau i. E.;1;0
35885;3;5308;Lenggern;1;0
35886;3;3014;Bern;1;0
35889;3;3006;Bern;1;0
35890;2;3303;Jegenstorf;1;0
35891;2;3006;Bern;1;0
35896;3;3629;Kiesen;1;0
35897;2;2503;Biel;1;0
35898;2;4914;Roggwil BE;1;0
35899;2;3097;Liebefeld;1;0
35900;2;3008;Bern;1;0
35901;2;3097;Liebefeld;1;0
35903;3;3014;Bern;1;0
35904;2;3063;Ittigen;1;0
35908;2;3008;Bern;1;0
35909;3;3066;Stettlen;1;0
35911;2;3074;Muri;1;0
35925;1;3012;Bern;1;0
35926;2;3004;Bern;1;0
35932;3;3018;Bern;1;0
36048;2;3072;Ostermundigen;1;0
36067;2;3006;Bern;1;0
36072;2;3012;Bern;1;0
36073;2;1680;Romont;1;0
